Avg_Degree,Lower_Bound_R0,Actual_R0,MPC Direct,MPC Lower Bound,MPC R0,Duration Direct,Duration Lower Bound,Duration R0,Avg Interval Direct,Avg Interval Lower Bound,Avg Interval R0
2.05,2.2499999999999982,2.2809220342858287,65.63310734249391,61.27635200466159,61.283645908645596,0.59445712500019,0.05754312500357628,0.06151579100696836,28.450385913090425,21.29130060723043,21.279557457030283
3.3,2.9481840965329607,3.1616813556559067,96.81648046027493,71.99604857547845,72.36367871600473,0.6904332080011955,0.06387229199754074,0.06907800000044517,28.459384691523805,21.29140140638002,21.230953169839882
4.55,3.898644476797521,4.572322357543589,109.8547139764265,79.5304883315189,81.09506444860347,0.8640163749951171,0.07924083298712503,0.07432983399485238,28.415393935257022,21.29127627626224,21.13240421524373
5.8,4.540061604920847,5.6505724385788945,117.93218873252904,84.41516981275905,87.47884021710219,0.8111223750020145,0.08420291700167581,0.08902341600332875,28.393856246932202,21.291280345822276,21.053627837510835
7.05,5.193058075038294,6.787112488665304,123.51334632703849,88.47835638877409,93.37152484293709,1.1470277500047814,0.08892554200429004,0.09243012500519399,28.368430564014556,21.291303459578025,20.97680701026155
8.3,6.222099796264031,8.002792918227577,127.68152848691258,91.80865268708172,96.81841740494022,1.3086998750077328,0.09185245799017139,0.10383537500456441,28.331352944551682,21.291260975421466,20.997498992096677
9.55,7.40220423634619,9.235807794601786,130.79035456164107,94.95282219548355,99.74175217403071,2.3519067910092417,0.10272208400419913,0.10929083300288767,28.289449694397568,21.275013251521937,21.013671866257905
10.8,8.126777341210342,10.184323582855477,132.9950055168494,97.62041284393686,103.24284545157684,1.9239349999988917,0.10986058400885668,0.12511312500282656,28.29760794891032,21.256708317398473,20.977569003719555
12.05,9.36930626592528,11.269130333371209,134.81371279319734,100.78120953867057,106.18213132946087,2.4146816249995027,0.11688245800905861,0.12847908299590927,28.277578783525332,21.19924490483635,20.950606436371697
13.3,9.784257075567098,12.13130465460969,136.45193006683374,102.74914255436485,109.7200907221331,2.6590406250033993,0.12245325000549201,0.1447453750006389,28.288265782706247,21.200957056969145,20.90055082973619
14.55,10.681633198551005,13.199634199444796,137.61234082201128,104.86805286689295,112.48334333155057,2.7115010839916067,0.11810533299285453,0.1484654160012724,28.28357038908139,21.17490623027784,20.86290265417453
15.8,11.595985195427643,14.287487818562052,138.60712920081392,107.27478808602277,115.65797946783718,2.992883166996762,0.13101887500670273,0.13382179199834354,28.27565327112745,21.13989855572807,24.973289318144495
17.05,12.853944400838431,15.460469580201195,139.44442007783584,108.97445570795283,116.53809111096072,3.582977625002968,0.13908262499899138,0.16620249999687076,28.26687485818508,21.12392304618654,20.834087361089207
18.3,13.456703989895924,16.43069862073385,140.23084832763746,109.8543218757892,118.10002582380896,3.6626864160061814,0.1444324579933891,0.14752500000759028,28.26274293150575,21.138093998487328,24.992144006741192
19.55,14.839328157254787,17.477540278923517,140.88043252779266,112.35467724432843,119.66935890118869,3.996541625005193,0.14688166699488647,0.14787749999959487,28.263424852028045,21.0838444053488,24.977386085637455
20.8,15.538713382167952,18.489360360468357,141.43885550594294,114.04140018244047,122.28104314159914,3.8060144999908516,0.15331229200819507,0.15993058399180882,28.26293566739305,21.06331446418889,24.91455244654726
22.05,16.286089122973685,19.472804399030192,141.9271603028174,115.39781167275191,124.19111560196625,3.566221291999682,0.15860945898748469,0.17816433300322387,28.26693122438012,21.050943775306173,24.87714284696206
23.3,16.818268819290264,20.450829231459792,142.3717266059424,116.15105409796224,125.91167230132541,3.9700752080098027,0.17105083400383592,0.16534820800006855,28.271716288609245,21.05844840940644,24.843612968130103
24.55,18.080717803068474,21.537866533331556,142.77548684515347,117.71711095922481,126.60154743747876,4.806347999998252,0.15639641700545326,0.1625542499969015,28.269781954034794,21.032520747234326,24.85210407015877
25.8,19.71537310891422,22.647557483204338,143.13944858858196,120.13005490619557,127.41338336698107,4.098102457995992,0.15554024999437388,0.1596312079927884,28.264605009170168,20.975425583010086,24.85143483968372
27.05,20.51352657438728,23.54772879331078,143.47689132916702,121.52559035835887,128.94646301039128,4.452427790994989,0.15948612500505988,0.165213041997049,28.26461958736002,20.95662767414885,24.818753067485495
28.3,21.51643068906627,24.67420899900019,143.76066101621257,121.95149611285937,129.21396335751314,5.116118374993675,0.1651808339956915,0.16960829100571573,28.264199802937075,20.965269383596684,24.837395252836146
29.55,22.626177164773065,25.7241551523149,144.0187057076701,123.43183274947837,130.32921434093237,5.90848866700253,0.17986383300740272,0.1779199580050772,28.261239270381168,20.93853802663619,24.815466208350834
30.8,23.877386904928386,26.582243019669516,144.29271485559497,125.96336564506328,131.85883437328488,4.8098522079963,0.1805891249969136,0.17833812499884516,28.282868571295456,20.878276304609688,24.77501749808355
